timestamp,user,ip,action,status,failed_login,hour,anomaly,risk_score,risk_level
2026-01-02 20:41:32,admin,172.16.0.3,login,failed,1,20,1,50,MÉDIO
2026-01-02 14:02:32,guest,192.168.0.10,login,success,0,14,-1,40,MÉDIO
2026-01-03 03:05:32,user2,192.168.0.20,login,failed,1,3,1,80,ALTO
2026-01-03 10:51:32,user2,172.16.0.3,login,failed,1,10,1,50,MÉDIO
2026-01-03 00:51:32,user2,10.0.0.5,login,failed,1,0,-1,100,ALTO
2026-01-02 13:07:32,guest,172.16.0.3,login,success,0,13,1,0,BAIXO
2026-01-02 20:59:32,user2,10.0.0.5,login,failed,1,20,1,50,MÉDIO
2026-01-03 08:01:32,user3,10.0.0.5,login,failed,1,8,1,50,MÉDIO
2026-01-02 22:53:32,user1,192.168.0.20,login,success,0,22,1,0,BAIXO
2026-01-03 08:16:32,user1,172.16.0.3,login,failed,1,8,1,50,MÉDIO
2026-01-02 17:49:32,user3,10.0.0.5,login,failed,1,17,1,50,MÉDIO
2026-01-03 05:30:32,guest,172.16.0.3,login,success,0,5,1,30,BAIXO
2026-01-03 08:19:32,guest,10.0.0.5,login,failed,1,8,1,50,MÉDIO
2026-01-03 10:56:32,user1,172.16.0.3,login,success,0,10,1,0,BAIXO
2026-01-02 13:03:32,user1,172.16.0.3,login,failed,1,13,1,50,MÉDIO
2026-01-02 23:25:32,user2,10.0.0.5,login,failed,1,23,1,80,ALTO
2026-01-02 20:55:32,user2,10.0.0.5,login,failed,1,20,1,50,MÉDIO
2026-01-02 18:53:32,user1,192.168.0.20,login,success,0,18,1,0,BAIXO
2026-01-03 06:20:32,admin,192.168.0.20,login,success,0,6,1,0,BAIXO
2026-01-03 09:43:32,user1,192.168.0.20,login,success,0,9,1,0,BAIXO
2026-01-03 02:37:32,user1,192.168.0.10,login,failed,1,2,1,80,ALTO
2026-01-03 05:15:32,user3,172.16.0.3,login,failed,1,5,1,80,ALTO
2026-01-03 11:12:32,user1,172.16.0.3,login,success,0,11,1,0,BAIXO
2026-01-03 02:24:32,user3,10.0.0.5,login,success,0,2,1,30,BAIXO
2026-01-03 03:02:32,admin,172.16.0.3,login,failed,1,3,1,80,ALTO
2026-01-03 11:32:32,user1,192.168.0.10,login,failed,1,11,1,50,MÉDIO
2026-01-02 22:24:32,user2,192.168.0.10,login,success,0,22,1,0,BAIXO
2026-01-03 03:09:32,admin,10.0.0.5,login,failed,1,3,1,80,ALTO
2026-01-02 21:52:32,guest,172.16.0.3,login,success,0,21,-1,40,MÉDIO
2026-01-03 08:09:32,user1,10.0.0.5,login,failed,1,8,1,50,MÉDIO
2026-01-03 09:46:32,admin,10.0.0.5,login,failed,1,9,1,50,MÉDIO
2026-01-03 11:01:32,user3,192.168.0.20,login,success,0,11,1,0,BAIXO
2026-01-02 18:06:32,user3,10.0.0.5,login,success,0,18,1,0,BAIXO
2026-01-03 09:19:32,admin,172.16.0.3,login,success,0,9,1,0,BAIXO
2026-01-03 00:27:32,user1,192.168.0.20,login,success,0,0,-1,70,MÉDIO
2026-01-02 23:32:32,admin,172.16.0.3,login,success,0,23,-1,70,MÉDIO
2026-01-02 21:16:32,guest,10.0.0.5,login,failed,1,21,-1,90,ALTO
2026-01-03 02:21:32,user2,192.168.0.10,login,failed,1,2,1,80,ALTO
2026-01-02 18:07:32,admin,10.0.0.5,login,success,0,18,1,0,BAIXO
2026-01-03 10:27:32,user1,10.0.0.5,login,success,0,10,1,0,BAIXO
2026-01-03 03:14:32,admin,10.0.0.5,login,failed,1,3,1,80,ALTO
2026-01-03 08:12:32,user1,192.168.0.10,login,failed,1,8,1,50,MÉDIO
2026-01-03 07:24:32,user3,192.168.0.10,login,success,0,7,1,0,BAIXO
2026-01-03 08:07:32,user3,10.0.0.5,login,success,0,8,1,0,BAIXO
2026-01-03 02:26:32,admin,192.168.0.10,login,failed,1,2,1,80,ALTO
2026-01-02 18:10:32,user2,192.168.0.20,login,success,0,18,1,0,BAIXO
2026-01-02 22:28:32,admin,172.16.0.3,login,success,0,22,1,0,BAIXO
2026-01-02 15:51:32,guest,10.0.0.5,login,success,0,15,1,0,BAIXO
2026-01-03 07:39:32,guest,192.168.0.10,login,failed,1,7,1,50,MÉDIO
2026-01-02 13:45:32,user2,192.168.0.10,login,failed,1,13,1,50,MÉDIO
2026-01-03 07:32:32,user3,10.0.0.5,login,failed,1,7,1,50,MÉDIO
2026-01-02 14:53:32,user2,10.0.0.5,login,failed,1,14,1,50,MÉDIO
2026-01-02 13:11:32,user2,192.168.0.10,login,failed,1,13,1,50,MÉDIO
2026-01-02 23:49:32,guest,10.0.0.5,login,failed,1,23,1,80,ALTO
2026-01-03 10:09:32,guest,192.168.0.20,login,failed,1,10,1,50,MÉDIO
2026-01-02 23:46:32,guest,172.16.0.3,login,failed,1,23,1,80,ALTO
2026-01-03 11:06:32,user3,10.0.0.5,login,failed,1,11,1,50,MÉDIO
2026-01-03 09:34:32,guest,192.168.0.10,login,failed,1,9,1,50,MÉDIO
2026-01-02 15:11:32,user1,192.168.0.10,login,success,0,15,1,0,BAIXO
2026-01-03 01:57:32,user1,10.0.0.5,login,success,0,1,-1,70,MÉDIO
2026-01-02 16:47:32,user3,172.16.0.3,login,success,0,16,1,0,BAIXO
2026-01-02 16:20:32,guest,172.16.0.3,login,failed,1,16,1,50,MÉDIO
2026-01-03 00:09:32,guest,10.0.0.5,login,failed,1,0,-1,100,ALTO
2026-01-02 15:24:32,admin,192.168.0.20,login,failed,1,15,1,50,MÉDIO
2026-01-02 20:43:32,admin,10.0.0.5,login,success,0,20,1,0,BAIXO
2026-01-03 05:39:32,admin,172.16.0.3,login,failed,1,5,1,80,ALTO
2026-01-03 00:12:32,user1,192.168.0.10,login,failed,1,0,-1,100,ALTO
2026-01-02 20:10:32,admin,192.168.0.20,login,failed,1,20,1,50,MÉDIO
2026-01-03 04:29:32,user3,172.16.0.3,login,success,0,4,1,30,BAIXO
2026-01-03 02:04:32,user3,172.16.0.3,login,failed,1,2,1,80,ALTO
2026-01-03 07:06:32,admin,10.0.0.5,login,success,0,7,1,0,BAIXO
2026-01-02 17:42:32,guest,10.0.0.5,login,failed,1,17,1,50,MÉDIO
2026-01-02 18:40:32,user3,192.168.0.10,login,success,0,18,1,0,BAIXO
2026-01-03 11:50:32,user2,172.16.0.3,login,failed,1,11,1,50,MÉDIO
2026-01-03 05:28:32,user1,10.0.0.5,login,success,0,5,1,30,BAIXO
2026-01-02 20:35:32,guest,10.0.0.5,login,failed,1,20,1,50,MÉDIO
2026-01-02 21:13:32,user3,172.16.0.3,login,failed,1,21,-1,90,ALTO
2026-01-03 03:53:32,user2,192.168.0.10,login,failed,1,3,1,80,ALTO
2026-01-03 10:14:32,user2,172.16.0.3,login,success,0,10,1,0,BAIXO
2026-01-03 03:07:32,admin,192.168.0.10,login,failed,1,3,1,80,ALTO
